バス停名,lng,lat,isStation
米沢駅前(始),37.90948827,140.1278702,1
駅前二丁目,37.90921921,140.1243086,1
舟山病院前,37.90912756,140.1224228,1
経路,37.9090666281277, 140.1206941515477,0
経路,37.90913830073639, 140.11849377185735,0
経路,37.90922457324406, 140.1177376014298,0
相生橋西,37.90808302,140.1174991,1
県営相生ｱﾊﾟｰﾄ東,37.90506642,140.1167973,1
市立病院前,37.90377808,140.1190931,1
福田町一丁目,37.90110977,140.1205454,1
福田町二丁目,37.90193699,140.1178891,1
福田町西,37.90274281,140.1146073,1
大町一丁目,37.90426022,140.1116261,1
経路,37.90515723150114, 140.111757062612,0
経路,37.905327276575086, 140.11101474308106,0
税務署前,37.90707217,140.1115388,1
経路,37.907716033751164, 140.11165347374038,0
上杉神社前,37.9083144,140.108594,1
経路,37.908452075552084, 140.10801735256155,0
経路,37.908058963234026, 140.10786893945257,0
経路,37.90657013584074, 140.10761451698008,0
城南一丁目,37.90544996,140.1075299,1
城南二丁目,37.90306078,140.107183,1
経路,37.902118739454345, 140.10714432817838,0
経路,37.9012226508409, 140.10700689503577,0
山大正門,37.9014795,140.105609,1
二中前,37.90250541,140.0996347,1
経路,37.90279539877173, 140.0980098754802,0
経路,37.902876899264086, 140.0975737667635,0
経路,37.90313045577419, 140.09698846295953,0
経路,37.90336590032275, 140.09664416660425,0
経路,37.903818676183576, 140.09615067516168,0
愛宕小前,37.90450387,140.0957418,1
西部こども園前,37.90846978,140.0932682,1
御廟所西口,37.91276339,140.0905515,1
経路,37.91349239164452, 140.0901483667178,0
経路,37.91436684996784, 140.09006310487973,0
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,37.91554509,140.090242,1
経路,37.91681714319213, 140.09040072574362,0
経路,37.91619250091198, 140.09434082023125,0
城西郵便局前,37.91611976,140.095444,1
経路,37.91608956040553, 140.09726641592383,0
経路,37.91593304864216, 140.09966178646704,0
経路,37.917080646896515, 140.09940880064747,0
すこやかセンター,37.91715444,140.0997805,1
経路,37.917080646896515, 140.09940880064747,0
経路,37.91593304864216, 140.09966178646704,0
法泉寺西,37.91573055,140.1013748,1
NTT前,37.9153602,140.1072143,1
中央二丁目,37.91523767,140.1093376,1
経路,37.91521652071932, 140.10980904722703,0
中央三丁目,37.91779246,140.1104647,1
経路,37.918668359145315, 140.1106564521739,0
中央四丁目,37.91900189,140.1082595,1
三友堂病院前,37.91948441,140.1050967,1
経路,37.91993949564288, 140.10114086942505,0
経路,37.92093380543688, 140.1007956558479,0
経路,37.92180144057968, 140.10055480916614,0
信夫町,37.92240559,140.1004624,1
経路,37.92285905499799, 140.1003942447112,0
経路,37.923384690027554, 140.100370160043,0
総合公園口,37.9233595,140.1027519,1
経路,37.923344855322014, 140.1040392203686,0
経路,37.92326188510127, 140.10499636567803,0
イオン米沢前,37.92284639,140.1077909,1
年金事務所西,37.922028,140.112596,1
米沢市役所前,37.9214006,140.116296,1
経路,37.92124138884488, 140.11745981715032,0
文化センター南,37.92038017,140.1173775,1
経路,37.91957145807299, 140.1173288606192,0
北村公園西,37.9196858,140.116524,1
経路,37.919948406994855, 140.11490385728962,0
金池一丁目,37.9160055,140.113851,1
大町,37.9117384,140.113561,1
住之江橋,37.91137141,140.1158569,1
経路,37.91116494927759, 140.11738139213682,0
経路,37.91103131576518, 140.11950391308048,0
駅前四丁目,37.9108701,140.12033,1
米沢営業所,37.91031495,140.1235892,1
経路,37.909623944684554, 140.12740256754844,0
米沢駅前(終),37.90960728,140.1278008,1
